obs_mode,x,mean_hns,std_hns,active_runs
native_obs,1.0,-0.0042891952496624626,0.18537707937617473,171
native_obs,2.0,-0.006617831996044026,0.1877938203166459,171
native_obs,3.0,-0.006617831996044026,0.1877938203166459,171
native_obs,4.0,-0.006617831996044026,0.1877938203166459,171
native_obs,5.0,-0.006617831996044026,0.1877938203166459,171
native_obs,6.0,-0.006617831996044026,0.1877938203166459,171
native_obs,7.0,-0.006617831996044026,0.1877938203166459,171
native_obs,8.0,-0.006617831996044026,0.1877938203166459,171
native_obs,9.0,-0.006617831996044026,0.1877938203166459,171
native_obs,10.0,-0.006617831996044026,0.1877938203166459,171
native_obs,11.0,-0.006617831996044026,0.1877938203166459,171
native_obs,12.0,-0.006617831996044026,0.1877938203166459,171
native_obs,13.0,-0.006617831996044026,0.1877938203166459,171
native_obs,14.0,-0.006617831996044026,0.1877938203166459,171
native_obs,15.0,-0.006617831996044026,0.1877938203166459,171
native_obs,17.0,-0.006617831996044026,0.1877938203166459,171
native_obs,18.0,-0.006617831996044026,0.1877938203166459,171
native_obs,19.0,-0.006617831996044026,0.1877938203166459,171
native_obs,21.0,-0.006617831996044026,0.1877938203166459,171
native_obs,22.0,-0.006617831996044026,0.1877938203166459,171
native_obs,24.0,-0.006617831996044026,0.1877938203166459,171
native_obs,26.0,-0.006617831996044026,0.1877938203166459,171
native_obs,28.0,-0.006617831996044026,0.1877938203166459,171
native_obs,30.0,-0.006617831996044026,0.1877938203166459,171
native_obs,32.0,-0.006617831996044026,0.1877938203166459,171
native_obs,35.0,-0.006617831996044026,0.1877938203166459,171
native_obs,37.0,-0.006617831996044026,0.1877938203166459,171
native_obs,40.0,-0.006617831996044026,0.1877938203166459,171
native_obs,43.0,-0.006617831996044026,0.1877938203166459,171
native_obs,46.0,-0.006617831996044026,0.1877938203166459,171
native_obs,50.0,-0.006617831996044026,0.1877938203166459,171
native_obs,54.0,-0.006617831996044026,0.1877938203166459,171
native_obs,58.0,-0.006617831996044026,0.1877938203166459,171
native_obs,62.0,-0.006617831996044026,0.1877938203166459,171
native_obs,67.0,-0.006617831996044026,0.1877938203166459,171
native_obs,72.0,-0.006617831996044026,0.1877938203166459,171
native_obs,78.0,-0.006617831996044026,0.1877938203166459,171
native_obs,84.0,-0.006617831996044026,0.1877938203166459,171
native_obs,90.0,-0.006617831996044026,0.1877938203166459,171
native_obs,97.0,-0.006617831996044026,0.1877938203166459,171
native_obs,105.0,-0.006617831996044026,0.1877938203166459,171
native_obs,113.0,-0.006617831996044026,0.1877938203166459,171
native_obs,121.0,-0.006689946383277869,0.18779363287861012,171
native_obs,131.0,-0.006689946383277869,0.18779363287861012,171
native_obs,141.0,-0.006689946383277869,0.18779363287861012,171
native_obs,151.0,-0.006689946383277869,0.18779363287861012,171
native_obs,163.0,-0.006689946383277869,0.18779363287861012,171
native_obs,175.0,-0.006689946383277869,0.18779363287861012,171
native_obs,189.0,-0.006689946383277869,0.18779363287861012,171
native_obs,203.0,-0.006689946383277869,0.18779363287861012,171
native_obs,219.0,-0.006689946383277869,0.18779363287861012,171
native_obs,236.0,-0.006689946383277869,0.18779363287861012,171
native_obs,254.0,-0.006802769085292733,0.18779537512315594,171
native_obs,273.0,-0.006802769085292733,0.18779537512315594,171
native_obs,294.0,-0.006802769085292733,0.18779537512315594,171
native_obs,317.0,-0.006802769085292733,0.18779537512315594,171
native_obs,341.0,-0.006802769085292733,0.18779537512315594,171
native_obs,367.0,-0.006802769085292733,0.18779537512315594,171
native_obs,395.0,-0.006802769085292733,0.18779537512315594,171
native_obs,425.0,-0.006802769085292733,0.18779537512315594,171
native_obs,458.0,-0.00682356140976457,0.18779481761063394,171
native_obs,493.0,-0.00682356140976457,0.18779481761063394,171
native_obs,531.0,-0.00682356140976457,0.18779481761063394,171
native_obs,572.0,-0.00682356140976457,0.18779481761063394,171
native_obs,615.0,-0.00682356140976457,0.18779481761063394,171
native_obs,663.0,-0.00682356140976457,0.18779481761063394,171
native_obs,713.0,-0.00682356140976457,0.18779481761063394,171
native_obs,768.0,-0.00682356140976457,0.18779481761063394,171
native_obs,827.0,-0.00682356140976457,0.18779481761063394,171
native_obs,890.0,-0.00932661143925194,0.19051988924192484,171
native_obs,958.0,-0.00932661143925194,0.19051988924192484,171
native_obs,1032.0,-0.00932661143925194,0.19051988924192484,171
native_obs,1111.0,-0.011829661468739311,0.19317409855671414,171
native_obs,1196.0,-0.01315600137348399,0.1938657066924525,171
native_obs,1287.0,-0.01315600137348399,0.1938657066924525,171
native_obs,1386.0,-0.01315600137348399,0.1938657066924525,171
native_obs,1492.0,-0.013164586483841851,0.19386515640933807,171
native_obs,1607.0,-0.013164586483841851,0.19386515640933807,171
native_obs,1730.0,-0.021008559805512608,0.2063402107335922,171
native_obs,1862.0,-0.021214597206203237,0.20633464559062875,171
native_obs,2005.0,-0.021901604485556968,0.2064584055830914,171
native_obs,2158.0,-0.018815479675454785,0.21245432702395856,171
native_obs,2324.0,-0.012147728843423303,0.22389097841688368,171
native_obs,2502.0,-0.012147728843423303,0.22389097841688368,171
native_obs,2694.0,-0.012147728843423303,0.22389097841688368,171
native_obs,2900.0,-0.012312580165221973,0.22389235134561175,171
native_obs,3122.0,-0.012213860300958968,0.22390147998064752,171
native_obs,3361.0,-0.01201389083475823,0.2239275674400848,171
native_obs,3619.0,-0.011565972033478525,0.22402479802438782,171
native_obs,3896.0,-0.02154177874115289,0.2644281006485147,171
native_obs,4194.0,-0.015660885699053093,0.26710622081117946,171
native_obs,4516.0,-0.01016853621480315,0.269684084228134,171
native_obs,4862.0,-0.009609599703856277,0.2692075635520082,171
native_obs,5234.0,-0.009849687678419058,0.2692222870945865,171
native_obs,5635.0,-0.006427659270218287,0.2717760000936887,171
native_obs,6067.0,-0.00577507858671078,0.27230739722106745,171
native_obs,6532.0,-0.00577507858671078,0.27230739722106745,171
native_obs,7032.0,-0.003860006072898198,0.27098937656170147,171
native_obs,7571.0,-0.005644277259286944,0.2714203686892724,171
native_obs,8151.0,0.030036966898646315,0.5080414649176025,171
native_obs,8775.0,0.030190267875615313,0.5080922833599076,171
native_obs,9448.0,0.02749520573685183,0.5309175073119319,171
native_obs,10171.0,0.01876331625344611,0.543489927364732,171
native_obs,10951.0,0.02657902763438984,0.5495882918985011,171
native_obs,11790.0,0.02853502447266251,0.5502669596347003,171
native_obs,12693.0,0.02882495401997792,0.5502452765180168,171
native_obs,13665.0,0.03455305213920538,0.5576295518989133,171
native_obs,14712.0,0.038618598191368585,0.581297325734387,171
native_obs,15839.0,0.03945632672809988,0.5813997632384046,171
native_obs,17053.0,0.04569669147405191,0.5891665078486376,171
native_obs,18359.0,0.04400757446498865,0.5894391030164289,171
native_obs,19766.0,0.044193533705512524,0.5894078711761205,171
native_obs,21280.0,0.0652060218984332,0.6039164900303694,171
native_obs,22910.0,0.03226879338359387,0.9252251526159501,171
native_obs,24665.0,0.04753285224994868,0.921436759445419,171
native_obs,26555.0,0.048032631074570425,0.9214524090964525,171
native_obs,28589.0,0.12527259995301163,1.1021055135660587,171
native_obs,30780.0,0.14300988641886708,1.111771506755757,171
native_obs,33138.0,0.14297533560629438,1.111999301892068,171
native_obs,35677.0,0.1506890016878665,1.1127409181007468,171
native_obs,38410.0,0.1542998692319503,1.1151067048482342,171
native_obs,41352.0,0.16102396686935525,1.116273979117599,171
native_obs,44521.0,0.1708812413788288,1.1157960192545449,171
native_obs,47931.0,0.17088965008613266,1.115794734170435,171
native_obs,51603.0,0.2065742102763102,1.2068939252670374,171
native_obs,55557.0,0.21304040393843476,1.2407363126636564,171
native_obs,59813.0,0.21765319630056648,1.2419880407610846,171
native_obs,64396.0,0.2195361019052168,1.2419114756344205,171
native_obs,69329.0,0.22836131318256048,1.2471912710184554,171
native_obs,74640.0,0.23406083128394267,1.2468274300272457,171
native_obs,80359.0,0.2537291464405877,1.2883257613431638,171
native_obs,86515.0,0.25914447645278366,1.2890288069858848,171
native_obs,93143.0,0.2697973674632193,1.2978812534271291,171
