env_id,obs_mode,num_runs,known_best_score,best_score_mean,best_score_std,best_score_max,best_hns_mean,best_hns_std,best_hns_max,steps_mean,episodes_mean
Alien-v5,native_obs,3,741812.63,2106.6666666666665,237.9542439676633,2440.0,0.27230346333521743,0.03448662212027177,0.32061334222235105,20149120.666666668,8021.666666666667
Alien-v5,ram,3,741812.63,1256.6666666666667,899.0488801443939,2450.0,0.14911327217302667,0.1302988275401664,0.32206263858896506,14170240.0,6519.666666666667
Amidar-v5,native_obs,3,31331.37,529.3333333333334,386.4516643629432,1074.0,0.30549882320904087,0.22550718583354332,0.623329637626189,7425955.333333333,1046.0
Amidar-v5,ram,3,31331.37,173.66666666666666,98.68918661918111,313.0,0.09795569041644785,0.05758836822033093,0.17926124759292758,8969714.333333334,2676.0
Assault-v5,native_obs,3,143972.03,717.0,34.55430508634199,756.0,0.9518860662047729,0.06650174189057352,1.0269438029253273,26407177.0,6466.333333333333
Assault-v5,ram,3,143972.03,714.0,45.36518488885502,756.0,0.9461123941493458,0.08730790009402431,1.0269438029253273,9335362.0,3192.3333333333335
Asterix-v5,native_obs,3,999403.53,4200.0,3395.0945004029954,8700.0,0.4811112584857657,0.4093779919215506,1.0237179409885089,14303673.0,4670.333333333333
Asterix-v5,ram,3,999403.53,82183.33333333333,113007.49483502805,242000.0,9.884284100820341,13.6263604156401,29.154859947186285,21219923.333333332,2823.3333333333335
Asteroids-v5,native_obs,3,6785558.64,9886.666666666666,6745.469261330568,18750.0,0.19643550976795746,0.14453668472261533,0.38635214357954645,13883451.333333334,1559.3333333333333
Asteroids-v5,ram,3,6785558.64,9636.666666666666,4420.002513825329,15690.0,0.19107870362434362,0.09470838648339239,0.3207848363817132,21772976.0,4286.333333333333
Atlantis-v5,native_obs,3,1674767.2,107933.33333333333,7570.703768841809,117800.0,5.877286784809918,0.46796000573873375,6.487164747405444,14341672.333333334,1259.0
Atlantis-v5,ram,3,1674767.2,103100.0,20931.47550142289,132400.0,5.578528999079002,1.293815435769521,7.389619300165038,20011110.666666668,1992.0
BankHeist-v5,native_obs,3,38536.66,73.33333333333333,57.927157323275885,150.0,0.08002887174628953,0.07839647763334132,0.18378670997428612,6828209.333333333,534.6666666666666
BankHeist-v5,ram,3,38536.66,46.666666666666664,26.246692913372705,70.0,0.04393918888437768,0.03552130587816038,0.07551766138855055,13465169.0,1786.3333333333333
BattleZone-v5,native_obs,3,992600.31,27333.333333333332,8653.836657164778,37000.0,0.7170578805063049,0.24847711311936777,0.994616323307731,13799984.666666666,2163.0
BattleZone-v5,ram,3,992600.31,27000.0,7348.469228349534,36000.0,0.7074868997200489,0.21099617337878213,0.9659033809489628,21355362.666666668,3408.3333333333335
BeamRider-v5,native_obs,3,4549993.53,2499.3333333333335,1651.3237787369933,4834.0,0.12893104544777592,0.0997019657986665,0.26989120065690175,20726951.666666668,2143.0
BeamRider-v5,ram,3,4549993.53,1298.5116279069769,83.62909692093885,1380.0,0.056429040603949675,0.00504927347885832,0.06134906355282384,20545440.666666668,1501.3333333333333
Berzerk-v5,native_obs,3,85932.6,1996.6666666666667,999.877770307729,3300.0,0.7471842129758911,0.39888210408414604,1.2671241073921888,8255183.666666667,794.3333333333334
Berzerk-v5,ram,3,85932.6,936.6666666666666,106.24918300339486,1070.0,0.3243174957779817,0.04238607851094859,0.37750827781545454,14960989.333333334,1957.0
Bowling-v5,native_obs,3,260.13,187.0,27.796882319185844,217.0,1.1911337209302326,0.20201222615687386,1.409156976744186,14053302.333333334,1121.3333333333333
Bowling-v5,ram,3,260.13,139.66666666666666,72.43541184316473,210.0,0.8471414728682172,0.526420144209046,1.3582848837209303,21569414.666666668,2388.3333333333335
Boxing-v5,native_obs,3,100.0,83.66666666666667,11.8133634311129,93.0,6.963888888888889,0.9844469525927418,7.741666666666667,24202934.333333332,3871.3333333333335
Boxing-v5,ram,3,100.0,40.333333333333336,32.72443871006635,86.0,3.352777777777778,2.727036559172196,7.158333333333334,15066873.333333334,2155.0
Breakout-v5,native_obs,3,864.0,351.3333333333333,77.59868269214081,435.0,12.140046296296298,2.6943987045882225,15.04513888888889,7392029.0,1994.0
Breakout-v5,ram,3,864.0,587.6666666666666,390.79434773576526,864.0,20.346064814814813,13.569248185269627,29.94097222222222,14130318.0,954.0
